,设备编号
0,13CFF349200080712111157C07
1,13D8F349200080712111950107
2,13D4F349200080712111157807
3,13D6F349200080712111957007
4,13D4F34920008071211115DC07
5,13D6F349200080712111155007
6,13D1F349200080712111159807
7,13D6F349200080712111959007
8,13D2F34920008071211115C907
9,13D6F349200080712111959107
10,13D0F349200080712111159C07
11,13D0F34920008071211115E107
12,13CFF349200080712111955C07
13,13D1F349200080712111953007
14,13D5F34920008071211115D807
15,13D7F349200080712111954D07
16,13D1F349200080712111153007
17,13D6F349200080712111152D07
18,13D0F349200080712111157907
19,13D3F349200080712111151D07
20,13D5F349200080712111153007
21,13D6F34920008071211195B407
22,13D9F349200080712111956007
23,13D0F349200080712111959D07
24,13D1F34920008071211195B807
25,13CFF349200080712111155D07
26,13D6F349200080712111159007
27,13D4F349200080712111155807
28,13D7F34920008071211195B007
29,13CFF349200080712111955D07
